iso3,year,sstran,deficit,debt,ln_population,ln_gdppc,inflation_cpi,dependency_ratio,KOFGI,KOFEcGI,KOFTrGI,KOFFiGI,KOFSoGI,KOFIpGI,KOFIpGIdf,KOFIpGIdj,KOFInGI,KOFInGIdf,KOFInGIdj,KOFCuGI,KOFCuGIdf,KOFCuGIdj,KOFPoGI
NOR,1991,16.36923,0.169095183624071,25.811676480285,15.265186208387194,4.96381186862773,3.438196,54.54788094350488,75.1662368774414,67.66404724121094,73.16609191894531,62.1619987487793,74.68954467773438,71.8032455444336,65.72755432128906,77.87893676757812,64.90945434570312,83.66818237304688,46.15074157714844,87.3559341430664,86.48716735839844,88.22471618652344,83.14511108398438
NOR,1992,17.0571,-1.51894682875444,30.1035534605001,15.27095801106846,4.978936225517842,2.328085,54.69278706794009,75.6462173461914,66.59839630126953,71.80915069580078,61.38764953613281,75.71979522705078,73.49231719970703,68.71977233886719,78.26486206054688,65.62655639648438,83.665283203125,47.587833404541016,88.04048919677734,86.4952621459961,89.5857162475586,84.62051391601562
NOR,1993,16.92938,-0.947896850692775,37.8409651176287,15.276910304370276,4.994210970301313,2.288269,54.770379787635356,76.96587371826172,69.05500030517578,72.45222473144531,65.65777587890625,76.04312896728516,73.38011169433594,68.6401596069336,78.12005615234375,65.61100769042969,83.26447296142578,47.95753860473633,89.13827514648438,87.40147399902344,90.8750991821289,85.79948425292969
NOR,1994,16.36181,0.590553726554026,34.6057563746656,15.282604186647927,5.014889512064931,1.375675,54.798595729719025,78.04415130615234,70.4055404663086,72.62018585205078,68.19091796875,76.48710632324219,73.85126495361328,68.64747619628906,79.05503845214844,66.70726776123047,83.64850616455078,49.766029357910156,88.90277099609375,87.90824890136719,89.89730072021484,87.23985290527344
NOR,1995,15.1537993517025,3.142329404167,37.9645097955747,15.287795441846052,5.032149534178557,2.460368,54.84123852104654,78.19998168945312,70.60984802246094,71.79115295410156,69.42855834960938,76.85225677490234,74.4552993774414,68.62333679199219,80.28726959228516,67.2629165649414,83.6008529663086,50.924991607666016,88.83853912353516,88.68680572509766,88.99026489257812,87.13782501220703
NOR,1996,14.4995790160353,6.16560772865143,33.5869980553214,15.292864258673672,5.051560611278541,1.262532,54.88780068412665,78.86965942382812,71.5664291381836,72.9350814819336,70.19776916503906,77.83341217041016,74.50265502929688,68.57486724853516,80.43045043945312,69.46729278564453,83.52659606933594,55.407981872558594,89.53031158447266,89.1004409790039,89.9601821899414,87.20914459228516
NOR,1997,14.0225524383619,7.46000315418718,29.7716718944399,15.298286458033965,5.068162247794825,2.566923,54.87672006353762,79.70004272460938,73.73680114746094,74.9464340209961,72.52718353271484,78.35108184814453,74.53082275390625,68.87984466552734,80.18179321289062,70.21818542480469,83.81046295166016,56.62590408325195,90.30421447753906,89.31643676757812,91.2919921875,87.01225280761719
NOR,1998,14.7202459776417,3.1817084205922,28.1951356168303,15.304240561467433,5.066762369252212,2.252413,54.72905877620795,79.84175872802734,75.49568176269531,75.14331817626953,75.8480453491211,78.12413787841797,74.86437225341797,69.2752456665039,80.45350646972656,69.14161682128906,83.69425964355469,54.58898162841797,90.36640930175781,89.77416229248047,90.95864868164062,85.90547943115234
NOR,1999,14.5021212621293,5.80663958864997,29.3495906713495,15.31108815580156,5.054843944219102,2.365967,54.502919926659885,80.04716491699219,75.31880950927734,74.8696060180664,75.76800537109375,79.5675277709961,76.0589370727539,70.25883483886719,81.85903930664062,72.8073501586914,83.56210327148438,62.05258560180664,89.83633422851562,90.68069458007812,88.99198150634766,85.25511932373047
NOR,2000,13.065192441748,15.0463975318262,32.7764569302089,15.317578604013486,5.047517923496614,3.085506,54.24902241280712,81.48638916015625,77.49151611328125,76.6085205078125,78.37450408935547,81.3145980834961,76.24765014648438,70.07359313964844,82.42171478271484,76.7767333984375,86.80901336669922,66.74446105957031,90.9194107055664,90.21465301513672,91.62416076660156,85.65299987792969
